number,出售价,挂牌价,单价,行政区,小区,建筑面积,建筑类型,建成时间,朝向,户型2,楼层,所在楼层,总楼层,装修,梯户比,电梯,产权年限,成交时间,房屋用途,房屋年限,地铁,税收
1,262,270,35560,海珠,江湾花苑,73.68,塔楼,1999,北,2室1厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯五户,无,70年,2018-03-11,普通住宅,暂无数据,,
2,190,198,33102,荔湾,龙泉居,57.4,塔楼,1996,东北,2室1厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯九户,无,70年,2018-03-11,普通住宅,暂无数据,,
3,180,185,38112,海珠,江南大道中江南大道中后街,47.23,塔楼,未知,南,2室1厅1厨1卫,低楼层 (共8层),低楼层,8,其他,一梯四户,无,70年,2018-03-11,普通住宅,暂无数据,地铁,
4,172,175,29867,白云,祥景花园,57.59,塔楼,2000,东,2室1厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯五户,无,70年,2018-03-11,普通住宅,暂无数据,,
5,130,130.2,20968,荔湾,黄沙后道,62,塔楼,未知,南,3室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯四户,无,70年,2018-03-11,普通住宅,暂无数据,地铁,
6,102,105,30476,天河,雅怡居,33.47,塔楼,2000,东北,1室1厅1厨1卫,低楼层 (共9层),低楼层,9,简装,一梯四户,无,70年,2018-03-07,普通住宅,暂无数据,,
7,254.8,260,33974,白云,百顺台花园,75,塔楼,2003,南 北,2室2厅1厨1卫,中楼层 (共15层),中楼层,15,其他,两梯六户,有,70年,2018-03-13,普通住宅,暂无数据,,
8,246,248,36993,海珠,金碧花园第二金碧,66.5,塔楼,2000,北,2室2厅1厨1卫,高楼层 (共33层),高楼层,33,其他,三梯十户,有,70年,2018-03-07,普通住宅,暂无数据,,
9,226,235,35874,白云,金碧新城,63,塔楼,2006,南,2室1厅1厨1卫,高楼层 (共32层),高楼层,32,简装,三梯八户,有,70年,2018-03-03,普通住宅,暂无数据,,
10,168,175,23550,番禺,水韵蓝湾南区,71.34,塔楼,2010,北,2室2厅1厨1卫,中楼层 (共17层),中楼层,17,其他,两梯六户,有,70年,2018-03-07,普通住宅,暂无数据,,
