number,总价,单价,行政区,小区,建筑面积,建成时间,建筑类型,朝向,户型2,楼层,所在楼层,总楼层,装修,梯户比,电梯,产权年限,更新时间,房屋用途,房屋年限,地铁
1,130,27329,白云,泽德花园,47.57,1998,塔楼,南,2室1厅1厨1卫,高楼层/共9层,高楼层,共9层,其他,一梯八户,无,70年,2018-04-01,普通住宅,满五年,
2,392,43153,荔湾,新世界逸彩庭园朗逸庭,90.84,2007,塔楼,西北,3室2厅1厨1卫,高楼层/共23层,高楼层,共23层,其他,两梯八户,有,70年,2017-12-13,普通住宅,满五年,地铁
3,358,25074,番禺,金沙湾花园,142.78,2007,塔楼,北,3室2厅1厨2卫,中楼层/共15层,中楼层,共15层,简装,两梯四户,有,70年,2018-03-25,普通住宅,满五年,
4,240,46512,海珠,华乐苑,51.6,1999,塔楼,北,1室1厅1厨1卫,中楼层/共9层,中楼层,共9层,简装,一梯六户,有,70年,2018-03-10,普通住宅,满五年,地铁
5,349,39991,白云,白云高尔夫花园东区,87.27,2002,塔楼,南,3室2厅1厨1卫,中楼层/共12层,中楼层,共12层,其他,两梯五户,有,70年,2018-04-01,普通住宅,满五年,
6,210,24194,番禺,富丽家园富昌花园,86.8,1995,塔楼,南,3室2厅1厨2卫,中楼层/共9层,中楼层,共9层,精装,一梯两户,无,70年,2018-03-10,普通住宅,满五年,地铁
7,382,48069,天河,广东工业大学五山教师村,79.47,2001,塔楼,南,2室1厅1厨1卫,低楼层/共16层,低楼层,共16层,精装,一梯八户,暂无数据,70年,2017-11-27,普通住宅,满五年,
8,398,49750,荔湾,万科柏悦湾,80,2005,塔楼,西南,2室1厅1厨1卫,中楼层/共34层,中楼层,共34层,其他,两梯六户,有,70年,2017-12-22,普通住宅,满五年,地铁
9,480,42385,天河,福金莲花园,113.25,2003,塔楼,东,3室2厅1厨2卫,高楼层/共27层,高楼层,共27层,精装,三梯七户,有,70年,2017-08-03,普通住宅,满五年,
10,360,37114,天河,绿佳花园,97,1998,塔楼,南,3室2厅1厨2卫,低楼层/共9层,低楼层,共9层,简装,一梯六户,无,70年,2017-12-22,普通住宅,满五年,地铁
11,168,37551,海珠,海城花苑,44.74,1998,塔楼,南,2室1厅1厨1卫,中楼层/共9层,中楼层,共9层,简装,一梯六户,无,70年,2017-07-19,普通住宅,满五年,
12,268,28861,黄埔,荔香花园,92.86,1996,塔楼,西北,3室2厅1厨1卫,低楼层/共9层,低楼层,共9层,简装,一梯四户,无,70年,2017-07-12,普通住宅,满五年,地铁
13,390,47894,天河,华景公安宿舍,81.43,1998,塔楼,南 北,2室2厅1厨1卫,高楼层/共9层,高楼层,共9层,其他,一梯九户,有,70年,2017-06-27,普通住宅,满五年,
